Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany","Grassau, Germany","€€€€","Creative, Modern Cuisine",12.4656176,47.7856302,+498641401609,https://guide.michelin.com/en/bayern/grassau/restaurant/es-senz,https://www.das-achental.com/essenz,"3 Stars",0,"Air conditioning,Car park,Interesting wine list","From the get-go, the stage is set in grand style: Following a spectacular overture in the form of various aperitifs, an artisanal bread selection and amuse-bouches, Edip Sigl reveals why it is worth making the trip to dine at this restaurant in Das Achental hotel. He presents two incredible set menus: ""Chiemgau pur"" (devoted to the region) and ""Chiemgau goes around the world"" (a combination of local and international ingredients). Both feature modern creations that are complex but not overdone, highly refined and consistently elegant – think langoustine, artichoke, kumquat, pea, bisque, or the Sigl classic of saffron ice cream with fermented rosehip and pumpkin seed oil. In dishes such as the Miéral squab on the bone, the chef also proves he can deliver robust flavours. Diners are free to opt for six or eight courses, with the added bonus that sauces are left at the table to allow for second helpings. Expert service adds the finishing touch: approachable and courteous, pleasingly laid back and full of Bavarian charm, making the guest the true focus. Tip: Nab a table by the floor-to-ceiling windows of the elegant dining space and enjoy the view of the garden."
"Tohru in der Schreiberei","Burgstraße 5, Munich, 80331, Germany","Munich, Germany","€€€€","Modern Cuisine, Japanese Contemporary",11.577475,48.137597,+498921529172,https://guide.michelin.com/en/bayern/mnchen/restaurant/tohru-in-der-schreiberei,https://schreiberei-muc.de/,"3 Stars",0,"Interesting wine list,Notable sake list","It is absolutely worth climbing the 23 steps of the beautiful steep wooden staircase that leads to this tasteful, upscale restaurant, which has been designed with an eye for detail. In this historic location (Munich's oldest town house, where the city's history started to be recorded in 1552), Tohru Nakamura – a Munich-born chef of German-Japanese descent – artfully bridges the gap between classic French and European cuisine and the culinary traditions of Japan. The combination of ingredients and flavours from both cultures makes for a unique twist, for example, in the perfectly cooked, delicately aromatic Koshihikari rice with excellent regional trout caviar and a hint of wasabi, as well as an intense beurre blanc made from fermented rice, sake and elderflower. A tasting menu comprising 10 or eight courses is proposed. The attentive waitstaff are always on hand to elucidate the chef's culinary concept. When it comes to wine recommendations (tip: Rieslings), you are in the best hands with sommelier Christian Rainer. A nice touch: Diners are even greeted with a tour of the kitchen!"
Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany","Baiersbronn, Germany","€€€€","Classic French, Creative",8.3582803,48.5369113,+497442492665,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/schwarzwaldstube,https://www.traube-tonbach.de/kulinarik/schwarzwaldstube/,"3 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access","Schwarzwaldstube, the flagship restaurant of the Traube Tonbach hotel, is modern and elegant with a regional flavour; the floor-to-gable glass-paned façade affords unobstructed views of the valley. Chef Torsten Michel and his team delight diners with a carefully balanced interplay of modern and classical influences, rich in finesse and flavour. The quality of the ingredients is exceptional. A prime example is the grilled Brittany lobster, scallop, langoustine and crispy calamaretti with butterhead lettuce, Creole escabeche with bell pepper, wild leek, coriander and shellfish coral cream – showcasing top-quality seafood in generous fashion. Diners are offered a choice between a shorter and a longer tasting menu, as well as a vegetarian set menu. A charming touch: the traditional cheese trolley is still part of the experience. Piet Gliesche's wonderful desserts are the perfect ending to any meal. As an alternative to the set menu, there is a fantastic à la carte selection, including dishes for two. And then there is the extremely pleasant, perfectly organised service team supporting Stéphane Gass, a highly competent maître d' and sommelier with bags of personality."
"Victor's Fine Dining by christian bau","Schlossstraße 27, Perl, 66706, Germany","Perl, Germany","€€€€","Creative, Contemporary",6.3872109,49.5351732,+49686679118,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Notable sake list","The way in which Christian Bau combines influences from French and Japanese cuisine makes for truly memorable results! His unique signature style runs through the entire menu. The ""Paris – Tokyo"" set menu allows you to experience the best possible ingredient quality and witness his impressive aplomb. It is with consummate craftsmanship that he pairs, for example, the freshest tuna fillet in the form of tartare and raw slices with Imperial caviar, marinated daikon radish and an umami-rich seaweed and ginger vinaigrette, and creates delicate contrasts by adding crispy seaweed chips, fresh cress and shiso leaves. His highly aromatic signature dish ""bau.stein – Pan Dan, exotic fruits, coconut yuzu ice cream"" also meets the most exacting of standards. He skilfully implements new ideas while remaining true to his style. There is also a range of specials with which to supplement the set menu. The wine list is extensive, with a particularly good selection of regional wines from the Moselle and Saar. The professional and friendly service adds to the experience. In addition there is the option of staying overnight at the elegant Victor's Residenz-Hotel Schloss Berg."
"Restaurant Haerlin","Neuer Jungfernstieg 9, Hamburg, 20354, Germany","Hamburg, Germany","€€€€","Creative French, Classic Cuisine",9.9914638,53.5554424,+494034940,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/haerlin,https://restaurant-haerlin.de/de/,"3 Stars",0,"Air conditioning,Great view,Interesting wine list,Wheelchair access","One of Hamburg's classic hotels, the legendary Hotel Vier Jahreszeiten, with its view of the Inner Alster Lake, is home to this stylish, chic restaurant. The top-notch cuisine is inextricably linked with Christoph Rüffer, who has been the chef here for over 20 years. His dishes adhere to a clear idea, retaining their identity despite considerable technicality. He incorporates meaningful contrasts with minimal fuss. Each elegant course of the perfectly composed menu is beautifully balanced. There are also several dishes to swap out or add on. The mainstay of the cuisine is top-notch ingredients – the langoustine and the saddle of venison are particularly noteworthy, not to mention the fantastic sauces! Proficient service is provided by a classic-style brigade. The wine list is outstanding; the wine pairings devised for the set menu can be highly recommended. For a little luxury… world-class wines are also available by the glass."
"Waldhotel Sonnora","Auf'm Eichelfeld 1, Dreis, 54518, Germany","Dreis, Germany","€€€€","Classic French",6.8109342,49.9377323,+49657898220,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,https://www.hotel-sonnora.de/,"3 Stars",0,"Car park,Garden or park,Interesting wine list","This legendary fine dining establishment is run by exemplary husband-and-wife team Magdalena and Clemens Rambichler. The chef's set menu meets the highest standards, course by course, starting with the first amuse-bouche. The Breton lobster is served in perfectly cooked bite-sized pieces with celery, green apple and a rich, delicately foamed sauce, and is given striking Asian accents by lemongrass, ginger, grilled lime and shellfish oil. Only the very finest ingredients are used, and in notably generous measure. Each dish remains memorable for its poised elegance, intricate depth and clarity of flavour. The classic ""Kleine Torte"" of beef tenderloin tartare is always available as an upgrade option. Two interesting wine pairings are available with the set menu. À la carte dining is possible, too. Always on hand, Magdalena Rambichler is cordial and extremely competent as she heads up the front-of-house team, and head sommelier Marco Franzelin is one of the leading names in his field. The stylish and elegant decor has a restrained modern feel. The inviting, individually designed guestrooms are equally fabulous."
JAN,"Luisenstraße 27, Munich, 80333, Germany","Munich, Germany","€€€€","Creative, Modern Cuisine",11.5629878,48.1447975,+498923708658,https://guide.michelin.com/en/bayern/mnchen/restaurant/jan-1204321,https://jan-hartwig.com/,"3 Stars",0,"Interesting wine list","This restaurant has firmly established itself among the world's top-tier dining destinations. The ability of Jan Hartwig and his team to bridge the gap between French culinary artistry and German classics is impressive. Dishes such as meatloaf, egg with mustard sauce and Handkas mit Musik are transformed into something spectacular. Each creation dazzles – the quality of the ingredients is beyond question, and the craftsmanship is masterful. In the seven-course set menu, every detail is precisely executed and well thought out, with a clear sense of identity, featuring inventive and sometimes surprising combinations. You have the option to add various signature dishes such as ""sea urchin 'Louise'"" or pâté en croûte. The set menu is available at lunch and dinnertime – it's also possible to have a shortened version at lunchtime. Depending on where you sit in the sleek, chic and upscale interior, you can look through the open door or open pass into the kitchen, dubbed the Labor der Liebe (""Laboratory of Love""). The atmosphere is harmonious, and the service team led by maître d' Kilian Skalet is dedicated and professional. The impressive wine list includes specialities such as magnums, jeroboams and special vintages."
"Restaurant Bareiss","Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany","Baiersbronn, Germany","€€€€","Classic French, Seasonal Cuisine",8.3268245,48.5201324,+497442470,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,https://www.bareiss.com/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Claus-Peter Lumpp has been head chef at the fine dining restaurant of the luxurious Hotel Bareiss since March 1992, and his cooking is renowned far beyond the confines of the Black Forest. His style is rooted in classic French culinary tradition but also incorporates international influences. The amuse-bouches are fantastic – warm dumplings with a flavourful lobster filling and an aromatic broth made from watermelon, lemon balm and a hint of chilli. The extensive and elaborate dessert creations by head pastry chef Stefan Leitner also deserve a mention – be sure to leave some room for the pralines from the trolley! The decor is upscale further to a modern makeover incorporating elegant details such as hand-cut alabaster designer lamps, chic upholstered chairs and a palette of warm tones. However, the original character of the building has been retained. And then there is the highly professional service team headed up by maître d' Thomas Brandt, plus excellent wine recommendations courtesy of sommelier Teoman Mezda. It's a bonus that you can also partake in this culinary experience at lunchtime."
Rutz,"Chausseestraße 8, Berlin, 10115, Germany","Berlin, Germany","€€€€","Modern Cuisine, Creative",13.3860867,52.5283507,+493024628760,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,https://rutz-restaurant.de/,"3 Stars",1,"Air conditioning,Interesting wine list,Terrace","Marco Müller’s ""Inspiration"" tasting menu unfolds as a culinary journey, shaped by a clear personal style and a skilfully constructed narrative arc. The service team explains the ideas behind the dishes in a pleasingly relaxed and informal manner, and is always happy to answer questions. The kitchen works with remarkable precision, yet the cooking retains a sense of effortlessness and balance. With only a few components, the dishes seem minimalist, but are packed with details that lend them exceptional depth. One standout dish is the tender, flawlessly cooked Oldenburg Wagyu with an umami-rich beef garum, crisp kohlrabi strips and a hollandaise brimming with intensity. Even adventurous pairings, like North Sea squid with red cabbage, work remarkably well. Ingredients are sourced from carefully selected suppliers known personally to the chef, all of exceptional quality. The set menu comprises 12 or 13 ""inspirations"", with an optional caviar course available. The terrace, small but welcoming, is the ideal spot in summer."
Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway","Oslo, Norway","€€€€",Creative,10.7586363,59.9075293,+4722179969,https://guide.michelin.com/en/oslo-region/oslo/restaurant/maaemo-1194933,https://www.maaemo.no,"3 Stars",1,"Air conditioning,Interesting wine list","Time seems to stand still when you dine at this truly exceptional restaurant, such is its overwhelming quality. The unique dining experience begins with a drink in the cosy lounge before moving into a dramatic, high-ceilinged dining room with a theatrically lit open kitchen. A surprise seasonal tasting menu comprises a succession of expertly crafted, consistently memorable dishes that deliver sublime flavours and textures in superbly conceived combinations."
